isbn,title,author,residual,segment
9786059398275,Kor / Yangın Mavisi Serisi 4,Binnur Şafak Nigiz,0.41263521787041135,PAROLA YAYINLARI_ekonomik
9789754708257,Lucky,Sezgin Kaymaz,0.5596747208002899,İLETİŞİM YAYINLARI_orta
9786050822069,Patlak Zeka Cemcan 2 / Acayip Fikirler Ustası,Birsen Ekim Özen,0.8220016555936116,TİMAŞ ÇOCUK YAYINLARI_ekonomik
9786051419343,Bir Hayat Bir Hayata Değer,Ahmet Altan,0.8320066985471026,EVEREST YAYINLARI_ekonomik
9789750840975,Harry Potter ve Azkaban Tutsağı (Resimli Özel Baskı),J. K. Rowling,0.494060900119595,YAPI KREDİ YAYINLARI_premium
9786053436539,Sürü,Frank Schatzing,0.50559536241754,PEGASUS YAYINLARI_pahali
9786050204339,"İnsan Vücudunun Öyküsü & Sağlık, Hastalık ve Evrim",Daniel E. Lieberman,0.35116008982838487,SAY YAYINLARI_pahali
9789753427753,Can,Andrey Platonov,1.08739732382214,METİS YAYINLARI_ucuz
9786053278016,Eskiçağ Medeniyetleri Tarihi,Prof. Dr. Ekrem Memiş,0.6933053049441926,EKİN KİTABEVİ YAYINLARI_orta
9786051119021,Firarperest,Elif Şafak,0.8931693778831615,DOĞAN KİTAP_orta
9786056923975,Kesin İnançlılar,Eric Hoffer,0.740383212539375,OLVİDO KİTAP_ekonomik
9789756247983,İslam İman İbadet,Osman Nuri Topbaş,0.35178237015217473,ERKAM YAYINLARI_ekonomik
9786055057015,"Her Güne Bir Nietzsche & Stres, Korku ve Endişelere Karşı",Allan Percy,0.8969146554161904,PENA YAYINLARI_ekonomik
9786050917260,Daha,Hakan Günday,1.0648249958085128,DOĞAN KİTAP_orta
9789759161613,Aşk Bir Davaya Benzer & Mesnevi Sohbetleri,H. Nur Artıran,0.7343703143634412,SUFİ KİTAP YAYINLARI_orta
9786051920856,Rüyalar Anlatılmaz,Nermin Yıldırım,0.699695087813768,HEP KİTAP_ekonomik
9789754730036,İslami Tebliğin Mekke Dönemi Ve İşkence,İhsan Süreyya Sırma,1.123715446423029,BEYAN YAYINLARI_ekonomik
9789750500930,Osmanlı İmparatorluğu 1700-1922,Donald Quataert,0.4543294704220058,İLETİŞİM YAYINLARI_orta
9786059125673,Duruş & Gençlerle Yüz Yüze,Ahmet Davutoğlu,0.36781196125682936,KÜRE YAYINLARI_orta
9786050824322,Dedemin Masal Krallığı (5 Kitap),Didem Demirel,0.7588139237161133,TİMAŞ ÇOCUK YAYINLARI_orta
9786053333739,İçsel Huzur İyi Yaşamın Kapısını Açar,Epiktetos,1.2029932588914658,BETA KİTAP_ucuz
9789757268895,Karşılaştırmalı Mecelle-i Ahkam-ı Adliye (Mecelle Ta'dilleri ve Gerekçeleriyle Birlikte),Prof. Dr. Ahmed Akgündüz,0.7790448061563784,OSAV_pahali
9789750721670,Vurun Kahpeye,Halide Edib Adıvar,1.0995353656356555,CAN YAYINLARI_orta
9789755705866,İnci,John Steinbeck,1.915390392087673,SEL YAYINCILIK_ucuz
9789750724336,"Üç Usta: Balzac, Dickens, Dostoyevski",Stefan Zweig,0.5132148154037504,CAN YAYINLARI_ucuz
9786054997077,İslam'da Sosyal Adalet,Prof. Dr. Seyyid Kutub,0.8885180168468132,BEKA YAYINLARI_orta
9789753637695,Sade'ı Yakmalı mı?,Simone de Beauvoir,0.46240309684925096,YAPI KREDİ YAYINLARI_ucuz
9786055222581,Müslüman Psikologların Çıkmazı,Prof. Dr. Malik Bedri,0.49993040610004513,MAHYA YAYINLARI_ekonomik
9789756500569,"III. Halife Hz. Osman (ra) Hayatı, Şahsiyeti ve Dönemi (Ciltsiz)",Prof. Ali Muhammed Sallabi,0.35282688186793854,RAVZA YAYINLARI_orta
9786059405096,Montsuzlar,Ömer Açık,0.4113897998419489,GÜNIŞIĞI KİTAPLIĞI_ucuz
9789944425506,Gora,Rabindranath Tagore,0.6350336845167401,BİLGE KÜLTÜR SANAT_ekonomik
9786055107758,Evlilikler Yalnızlıklar Umutlar,Mustafa Ulusoy,0.6992101894791194,KAPI YAYINLARI_ekonomik
9786055094324,Oruç Sırları ve Fazileti,İmam Gazali,0.3823754408541,ÇELİK YAYINEVİ_ucuz
9786050911992,Sevdalım Hayat,Zülfü Livaneli,0.6212162491919724,DOĞAN KİTAP_ekonomik
9786059925709,Mutluluk Tuzağı,Russ Harris,0.5512654288012975,LİTERA YAYINCILIK_pahali
9789755106014,Kurnaz Tilki,Johann Wolfgang Goethe,0.6017520314449145,CAN ÇOCUK YAYINLARI_ucuz
9786059781916,Sağ Sol Kitabım,Şiirsel Taş,1.203935983463703,REDHOUSE KIDZ YAYINLARI_ekonomik
9789754736151,Raşid Halifeler,Prof. Dr. Adnan Demircan,0.6263296763747439,BEYAN YAYINLARI_ucuz
9789944795647,Türk Halkbilimi,Prof. Dr. Sedat Veyis Örnek,0.4287775053173726,BİLGESU YAYINCILIK_orta
9786054125999,"Türk Kimliği ve Travma & Türklerin 3 Büyük Suçu, 3 Büyük Bozgun",Özcan Yeniçeri,0.6821938073477769,KRİPTO BASIN YAYIN_ucuz
9786057829399,Araba Sevdası (Cep Boy) (Tam Metin),Recaizade Mahmut Ekrem,1.5551399419224685,KARBON KİTAPLAR_ucuz
9789750743214,Yalnız Sıkıcı İnsanlar Kahvaltıda Parıldar (Kısa Klasik),Oscar Wilde,0.9246185709823038,CAN YAYINLARI_ucuz
9789756093832,Öğretmenler İçin Beden Dili,Çağlayan Babacan,0.7417651885712617,ELMA YAYINEVİ_ekonomik
9786050811452,Şirin İstanbul'u Geziyor Set (5 Kitap),Birsen Ekim Özen,0.9983924192833724,TİMAŞ ÇOCUK YAYINLARI_pahali
9786059331562,Şaman & Doğa’nın Şifası Uyanınca,Timur Davletov,0.48482990359328815,ASİKİTAP_orta
9786054074891,Aile İçi İletişim & Kur'an ve Sünnet Aydınlığında,Şaban Karaköse,0.6992681860729673,RAĞBET YAYINLARI_ucuz
9789750735073,Çelişki,Barış İnce,0.5773810429527568,CAN YAYINLARI_ucuz
9786053490401,Düşünme Becerileri - Kavram-Renk / İlk Etkinlk Kitabım,unknown,0.6944364122523523,ERDEM ÇOCUK YAYINLARI_ekonomik
9786052199398,Okulsuz Toplum,Ivan Illich,1.3814445640680608,ŞULE YAYINLARI_ekonomik
9786054182329,Zamanın Sahibi Zülkarneyn,Serhat Ahmet Tan,0.8551985601311554,ŞİRA YAYINLARI_pahali
9786054239443,Türk İslam Düşüncesi Tarihi,Ömer Bozkurt,0.4042766421092274,DİVAN KİTAP_pahali
